apt-type,city,address,rooms,floor,size,price,apt-link,attributes
יחידת דיור,ראשון לציון,הרב שמואל טרובץ 5,2,קרקע,45,3700,https://www.yad2.co.il/realestate/item/jpqn0c8y?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=55,"נכס חדש, מטבח גדול, בהזדמנות"
דירה,באר שבע,קפריסין 26,2,4,45,2300,https://www.yad2.co.il/realestate/item/0yoepkal?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=55,"נוף פתוח לעיר, בניין משופץ, קרוב לפארק"
דירה,תל אביב יפו,דרך שלמה 4,3,4,115,11000,https://www.yad2.co.il/realestate/item/4rav1x4v?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=55,"ממ""ד, נוף פתוח לים, חניה"
דירה,חולון,ההסתדרות 95,1,3,56,2000,https://www.yad2.co.il/realestate/item/lbs0eq18?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=55,"3 כיווני אוויר, נוף פתוח לעיר, בניין משופץ"
דירה,אשקלון,גיורא יוספטל 1,3,1,52,לא צוין מחיר,https://www.yad2.co.il/realestate/item/1ip1p1qp?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=55,"נוף פתוח לעיר, חבל לפספס, בהזדמנות"
דירה,חולון,ההסתדרות 29,4,1,100,6500,https://www.yad2.co.il/realestate/item/y96vnbnr?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=55,"נכס עורפי, מטבח גדול, בניין משופץ"
דירה,ראשון לציון,קרן קיימת לישראל 18,5,3,130,7500,https://www.yad2.co.il/realestate/item/9sbiy4ix?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=55,"2 מרפסות, 3 כיווני אוויר, חניה"
דירה,רחובות,כרמל 19,3,2,105,6250,https://www.yad2.co.il/realestate/item/xviui8ja?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=55,"ממ""ד, חניה, חדש מקבלן"
דירה,תל אביב יפו,עודד 2,1,3,25,3500,https://www.yad2.co.il/realestate/item/3v1s4xw0?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=56,"נוף פתוח לעיר, נכס עורפי, בהזדמנות"
יחידת דיור,קרית ים,שדרות ירושלים 49,2,4,40,1850,https://www.yad2.co.il/realestate/item/qilko12h?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=56,"נוף פתוח לעיר, בניין משופץ, קרוב לפארק"
יחידת דיור,אשדוד,לאה גולדברג 27,1.5,קרקע,40,3000,https://www.yad2.co.il/realestate/item/i1hzl5cl?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=56,"3 כיווני אוויר, נוף פתוח לפארק, בהזדמנות"
דירה,ירושלים,שדרות רמות 1,5,2,128,7800,https://www.yad2.co.il/realestate/item/gwcmy1eb?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=56,"ממ""ד, חניה, חדש מקבלן"
סאבלט,חיפה,גלבוע 44,3,קרקע,120,6500,https://www.yad2.co.il/realestate/item/d8ffl4uo?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=56,"2 מרפסות, 4 כיווני אוויר, חניה"
יחידת דיור,פרוד,פרוד,2,1,100,2700,https://www.yad2.co.il/realestate/item/0t689as0?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=56,"ממ""ד, חניה, נכס חדש"
דירה,נתניה,היהלום 3,1.5,קרקע,35,2000,https://www.yad2.co.il/realestate/item/4o5xsho0?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=56,"נכס עורפי, חבל לפספס, בהזדמנות"
תיירות ונופש,טבריה,אחד העם 19,2,5,50,3200,https://www.yad2.co.il/realestate/item/hllme5kn?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=56,"נוף פתוח לים, חניה, בהזדמנות"
דירה,חיפה,שדרות הנשיא טרומן 44,3,1,50,3000,https://www.yad2.co.il/realestate/item/zyvc5qa5?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=56,"3 כיווני אוויר, נוף פתוח לים, בהזדמנות"
דירה,שדי חמד,שיקמה 59,4,2,80,6800,https://www.yad2.co.il/realestate/item/42q7vq5o?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=56,"ייחודי, חבל לפספס, בהזדמנות"
סאבלט,רמת גן,שדרת הגיבורים 1,5,4,140,11000,https://www.yad2.co.il/realestate/item/oof0m9vv?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=56,"ממ""ד, נוף פתוח לפארק, חניה"
דירה,חולון,"ביל""ו 5",5,5,110,8100,https://www.yad2.co.il/realestate/item/yl7f1yhe?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=56,"ממ""ד, נכס חדש, יחידת הורים"
דופלקס,אור יהודה,צאלון 9,6,3,150,8800,https://www.yad2.co.il/realestate/item/jyro99fn?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=56,"ממ""ד, 4 כיווני אוויר, חניה"
בית פרטי/ קוטג',קדימה צורן,הדולב 24,4.5,קרקע,330,8500,https://www.yad2.co.il/realestate/item/40gp4doa?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=57,"אחריי להתחדשות עירונית, 2 מרפסות, 3 כיווני אוויר"
דירה,מצפה רמון,עין עבדת 9,4,2,112,3400,https://www.yad2.co.il/realestate/item/o9ikbtw6?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=57,"נוף פתוח לעיר, ייחודי, בהזדמנות"
יחידת דיור,ירושלים,הרב אברהם שיף 12,3,2,70,5500,https://www.yad2.co.il/realestate/item/c8fqadsl?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=57,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
בית פרטי/ קוטג',שריגים,אשכולות 47,6,קרקע,500,9800,https://www.yad2.co.il/realestate/item/ezqltev5?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=57,"ממ""ד, 4 כיווני אוויר, חניה"
גג/ פנטהאוז,תל אביב יפו,דיזנגוף 3,5,3,270,33000,https://www.yad2.co.il/realestate/item/ge9ti8dv?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=57,"3 מרפסות, 4 חדרי מקלחת, חניה"
דירה,כרמיאל,משעול מורן 27,3,2,65,3250,https://www.yad2.co.il/realestate/item/g6wjmwk0?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=57,"3 כיווני אוויר, נוף פתוח לעיר, בהזדמנות"
בית פרטי/ קוטג',אשקלון,כרמלי 13,5,קרקע,420,7250,https://www.yad2.co.il/realestate/item/g6jcvywa?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=57,"2 מרפסות, 3 כיווני אוויר, חניה"
דירה,חיפה,דרך יד לבנים 180,2,3,35,2650,https://www.yad2.co.il/realestate/item/2rlfa05o?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=57,"נוף פתוח לים, בניין משופץ, בהזדמנות"
דירה,תל אביב יפו,בורמה 26,2.5,1,60,6150,https://www.yad2.co.il/realestate/item/kwet9wme?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=57,"מטבח גדול, בניין משופץ, קרוב לפארק"
מרתף/ פרטר,תל אביב יפו,ירמיהו 27,3,קרקע,60,8500,https://www.yad2.co.il/realestate/item/8i8q9gie?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=57,"חדש מקבלן, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,גולדברג 13,2,2,40,6500,https://www.yad2.co.il/realestate/item/xobud5ms?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=57,"2 מרפסות, 3 כיווני אוויר, נוף פתוח לעיר"
דירה,רחובות,מרים מזרחי 6,3,1,68,4250,https://www.yad2.co.il/realestate/item/7tihrhu7?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=57,"נוף פתוח לעיר, חניה, בהזדמנות"
דירה,נתניה,אברהם אבו שדיד 3,3.5,4,80,5200,https://www.yad2.co.il/realestate/item/frs0g347?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=57,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,חיפה,שדרות אליהו גולומב 33,2,קרקע,50,2100,https://www.yad2.co.il/realestate/item/1dk78bwe?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=58,"2 מרפסות, נוף פתוח לעיר, נכס עורפי"
יחידת דיור,באר שבע,"ד""ר שלמה צבי רן 9",3,קרקע,80,3200,https://www.yad2.co.il/realestate/item/ka5x292v?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=58,"ייחודי, חבל לפספס, בהזדמנות"
דירה,נהריה,הרצל 105,3,קרקע,80,3500,https://www.yad2.co.il/realestate/item/41erh7t8?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=58,"3 כיווני אוויר, נכס עורפי, בניין משופץ"
דירה,בת ים,וייצמן 17,2.5,1,100,4800,https://www.yad2.co.il/realestate/item/t4rrrt04?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=58,"4 כיווני אוויר, נוף פתוח לעיר, נכס עורפי"
יחידת דיור,אריאל,הפסגה 32,3,קרקע,90,3200,https://www.yad2.co.il/realestate/item/vppzm13b?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=58,"3 כיווני אוויר, בניין משופץ, חבל לפספס"
דירה,בת ים,שדרות בר אילן 85,4,3,100,6500,https://www.yad2.co.il/realestate/item/wg3clpel?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=58,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,רמת גן,"מל""ל 3",3,1,75,6800,https://www.yad2.co.il/realestate/item/s91s2xd6?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=58,"3 כיווני אוויר, משופצת אדריכלית, בניין משופץ"
דירה,פתח תקווה,אליהו בן חור 2,4,3,110,7700,https://www.yad2.co.il/realestate/item/rq40hu16?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=58,"ממ""ד, 3 כיווני אוויר, חניה"
תיירות ונופש,אילת,דרך הערבה 5,2,2,42,6500,https://www.yad2.co.il/realestate/item/23lwfla9?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=58,"נוף פתוח לעיר, חבל לפספס, בהזדמנות"
דירה,אשקלון,אליעזר מילרוד 12,3,קרקע,56,2665,https://www.yad2.co.il/realestate/item/ej7cb4in?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=58,"נוף פתוח לפארק, בניין משופץ, בהזדמנות"
דירה,תל אביב יפו,יוניצמן 2,1,1,25,3600,https://www.yad2.co.il/realestate/item/bt01lyi8?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=58,"חניה, קרוב לים, בהזדמנות"
דירה,ראשון לציון,רוטשילד 73,4,2,95,6250,https://www.yad2.co.il/realestate/item/7ytrvsj4?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=58,"3 כיווני אוויר, נוף פתוח לעיר, בניין משופץ"
דירה,נהריה,העלייה 44,5,3,130,5600,https://www.yad2.co.il/realestate/item/f8d5xa6g?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=58,"ממ""ד, 3 כיווני אוויר, חניה"
דירת גן,ירושלים,גנרל פייר קניג 13,4.5,1,130,11000,https://www.yad2.co.il/realestate/item/xd7wzcmy?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=59,"נוף פתוח לפארק, נכס עורפי, יחידת הורים"
דירה,חיפה,עין דור 11,4,12,75,5100,https://www.yad2.co.il/realestate/item/4bdbaw33?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=59,"ממ""ד, נוף פתוח לים, נכס חדש"
דירה,ראש העין,מעיין 5,5,6,143,6530,https://www.yad2.co.il/realestate/item/bd48hxzz?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=59,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,קרית אתא,בן עמי 23,3.5,3,60,1850,https://www.yad2.co.il/realestate/item/puufjn3p?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=59,"2 מרפסות, 3 כיווני אוויר, נוף פתוח לפארק"
בית פרטי/ קוטג',רעננה,הטייסים 2,5,קרקע,378,16800,https://www.yad2.co.il/realestate/item/dc1qwbh0?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=59,"ממ""ד, 3 כיווני אוויר, נוף פתוח לעיר"
דירה,חולון,ארלוזורוב 10,2,קרקע,50,3600,https://www.yad2.co.il/realestate/item/gdj521hh?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=59,"מטבח גדול, חבל לפספס, בהזדמנות"
דירה,בת ים,אנה פרנק 10,4.5,2,120,6500,https://www.yad2.co.il/realestate/item/kvy1m0ra?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=59,"3 כיווני אוויר, נוף פתוח לים, חניה"
דירה,קרית אונו,ענת גוב 2,5,4,130,8000,https://www.yad2.co.il/realestate/item/luak2o77?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=59,"ממ""ד, חניה, חדש מקבלן"
דירה,אור עקיבא,מאיר עמית 3,4,9,120,4400,https://www.yad2.co.il/realestate/item/k23b3l4t?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=59,"ממ""ד, נוף פתוח לים, חניה"
דירה,ראשון לציון,"ריב""ל 14",4,9,100,6523,https://www.yad2.co.il/realestate/item/oajslcb4?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=59,"2 מרפסות, 3 כיווני אוויר, חניה"
דירה,טירת כרמל,שרת 14,3,2,80,3100,https://www.yad2.co.il/realestate/item/qaz7e8cl?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=59,"מטבח גדול, חבל לפספס, בהזדמנות"
יחידת דיור,כרמיאל,משעול הסביונים 37,3,2,72,2700,https://www.yad2.co.il/realestate/item/m0uaqku2?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=59,"בניין משופץ, חבל לפספס, בהזדמנות"
בית פרטי/ קוטג',כוכב יאיר / צור יגאל,אגוז 66,5.5,קרקע,690,10500,https://www.yad2.co.il/realestate/item/bfnxfdps?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=59,"ממ""ד, 4 כיווני אוויר, חניה"
דירה,פתח תקווה,טרומפלדור 57,4,3,84,6400,https://www.yad2.co.il/realestate/item/8mzk2umz?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=60,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,אשדוד,ז'בוטינסקי 4,3,4,65,3300,https://www.yad2.co.il/realestate/item/hzthb6n5?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=60,"נכס עורפי, קרוב לים, בהזדמנות"
בית פרטי/ קוטג',עבדון,החיטה 4,4,קרקע,130,1705,https://www.yad2.co.il/realestate/item/bafbgwgq?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=60,"נוף פתוח לים, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,ארבע ארצות 37,2,2,62,8100,https://www.yad2.co.il/realestate/item/z6qpii8d?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=60,"מטבח גדול, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,טורי זהב 9,3,קרקע,75,6250,https://www.yad2.co.il/realestate/item/fy7oq9jl?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=60,"2 מרפסות, נכס עורפי, נכס חדש"
גג/ פנטהאוז,רבדים,רבדים,1.5,2,70,3300,https://www.yad2.co.il/realestate/item/wh37gxp0?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=60,"3 כיווני אוויר, נוף פתוח לפארק, חניה"
דירה,חיפה,"שדרות מח""ל 39",3,2,53,2850,https://www.yad2.co.il/realestate/item/zfjk3lsx?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=60,"3 כיווני אוויר, נוף פתוח לפארק, קרוב לים"
בית פרטי/ קוטג',מעלה אפרים,דרך הגלעד 112,3,קרקע,280,2500,https://www.yad2.co.il/realestate/item/4l0fpg2n?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=60,"3 כיווני אוויר, חניה, חדש מקבלן"
יחידת דיור,ירושלים,שלום שוורצבארד 1,2,קרקע,60,4200,https://www.yad2.co.il/realestate/item/erwwiklx?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=60,"ייחודי, חבל לפספס, בהזדמנות"
בית פרטי/ קוטג',מתן,מור 1,6,קרקע,350,12000,https://www.yad2.co.il/realestate/item/40subd45?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=60,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,אשקלון,ההסתדרות 30,2,2,35,2380,https://www.yad2.co.il/realestate/item/z0pavvp8?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=60,"נוף פתוח לים, בניין משופץ, בהזדמנות"
דירה,תל אביב יפו,דרך שלמה 46,2,7,49,6900,https://www.yad2.co.il/realestate/item/ewv1z7ow?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=60,"ממ""ד, נוף פתוח לעיר, חדש מקבלן"
דירה,ראשון לציון,שדרות בן גוריון 35,3,2,91,6500,https://www.yad2.co.il/realestate/item/paaoliss?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=60,"2 מרפסות, חניה, בהזדמנות"
דירה,מעלה אדומים,השיקמה 13,5,3,140,6900,https://www.yad2.co.il/realestate/item/k03cjdmf?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=61,"2 מרפסות, ממ""ד, 3 כיווני אוויר"
דירה,חיפה,סוקולוב 17,2,קרקע,35,2300,https://www.yad2.co.il/realestate/item/08qwloyp?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=61,"נכס עורפי, בניין משופץ, בהזדמנות"
יחידת דיור,נתניה,סיגלית 5,2.5,קרקע,40,4100,https://www.yad2.co.il/realestate/item/aujssc0e?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=61,"ממ""ד, נכס עורפי, בניין משופץ"
יחידת דיור,כפר סבא,חצרות הדר 8,1.5,קרקע,30,4500,https://www.yad2.co.il/realestate/item/pd8m0izk?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=61,"בניין משופץ, חבל לפספס, בהזדמנות"
דירה,חולון,אליעזר הופיין 60,5,1,110,7150,https://www.yad2.co.il/realestate/item/0pwpl5w6?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=61,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,נתניה,לויתן 1,5,10,147,10000,https://www.yad2.co.il/realestate/item/v1p7nr50?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=61,"3 חדרי מקלחת, 3 כיווני אוויר, חדש מקבלן"
דירה,בת ים,עגנון 19,4,1,120,6900,https://www.yad2.co.il/realestate/item/xxjocg5o?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=61,"נוף פתוח לים, קרוב לים, בניין משופץ"
דירה,כפר סבא,אהוד מנור 11,5,3,150,8700,https://www.yad2.co.il/realestate/item/kave1wpv?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=61,"ממ""ד, נוף פתוח לעיר, חניה"
דירה,תל אביב יפו,נחום סוקולוב 8,4,4,130,12000,https://www.yad2.co.il/realestate/item/qz02lxid?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=61,"4 כיווני אוויר, מטבח גדול, בניין משופץ"
דירה,נתניה,יאנוש קורצ'אק 7,2.5,2,50,4200,https://www.yad2.co.il/realestate/item/gmpr9gkq?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=61,"נוף פתוח לעיר, קרוב לפארק, בהזדמנות"
בית פרטי/ קוטג',נתניה,הרינה 11,4,קרקע,310,12500,https://www.yad2.co.il/realestate/item/3xi6zrtn?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=61,"2 מרפסות, 3 חדרי מקלחת, 3 כיווני אוויר"
דירה,לוד,ארבע עונות 16,2,6,55,3000,https://www.yad2.co.il/realestate/item/3jxhstjm?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=61,"נוף פתוח לפארק, קרוב לפארק, בהזדמנות"
דירה,בת ים,דרך בן גוריון 81,2,1,30,5000,https://www.yad2.co.il/realestate/item/nzz519vs?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=61,"נוף פתוח לים, חבל לפספס, בהזדמנות"
יחידת דיור,אורנית,אלכסנדר 4,2,קרקע,54,3300,https://www.yad2.co.il/realestate/item/15zyrpar?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=62,"נכס חדש, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,שבטי ישראל 15,1,1,50,4200,https://www.yad2.co.il/realestate/item/p0xuhlj0?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=62,"נוף פתוח לעיר, נכס עורפי, בהזדמנות"
דירה,תל אביב יפו,אלמגור 10,3,2,64,5200,https://www.yad2.co.il/realestate/item/bzb71kc0?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=62,"ייחודי, חבל לפספס, בהזדמנות"
דירה,נשר,מעלה הגיבורים 6,2,3,45,1700,https://www.yad2.co.il/realestate/item/colqmwni?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=62,"נכס עורפי, חבל לפספס, בהזדמנות"
תיירות ונופש,טבריה,קלאב הוטל טבריה 1,2,1,30,לא צוין מחיר,https://www.yad2.co.il/realestate/item/cah7bao9?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=62,"נוף פתוח לים, חניה, מטבח גדול"
דירה,חיפה,דרך יד לבנים 70,3.5,1,70,3800,https://www.yad2.co.il/realestate/item/4iejdntl?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=62,"3 כיווני אוויר, נוף פתוח לים, בניין משופץ"
דירה,תל אביב יפו,רב אשי 8,4,3,90,12500,https://www.yad2.co.il/realestate/item/m72f9tzy?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=62,"3 כיווני אוויר, נוף פתוח לפארק, חניה"
דירה,בת ים,שלום עליכם 9,3.5,1,71,5000,https://www.yad2.co.il/realestate/item/4j7so5ny?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=62,"נוף פתוח לעיר, חניה, מומלץ"
דו משפחתי,כפר יונה,אלי כהן 9,4,קרקע,275,7200,https://www.yad2.co.il/realestate/item/v2hqfedw?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=62,"4 כיווני אוויר, יחידת הורים, בניין משופץ"
דירה,הרצליה,קיבוץ גלויות 77,2.5,1,125,5000,https://www.yad2.co.il/realestate/item/sbdh4i65?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=62,"חניה, חבל לפספס, בהזדמנות"
יחידת דיור,ירושלים,בן יהודה 34,1,19,34,3900,https://www.yad2.co.il/realestate/item/zze2wjky?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=62,"ממ""ד, נוף פתוח לעיר, בהזדמנות"
יחידת דיור,לוד,שדרות שלמה המלך 16,2,3,40,2750,https://www.yad2.co.il/realestate/item/6xafxwc2?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=62,"חניה, נכס עורפי, בהזדמנות"
גג/ פנטהאוז,נתניה,קרל פופר 15,7,34,450,14500,https://www.yad2.co.il/realestate/item/1cxgdwtv?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=62,"3 חדרי מקלחת, 4 כיווני אוויר, חדש מקבלן"
בית פרטי/ קוטג',אלמגור,אלמגור,4,קרקע,1064,3300,https://www.yad2.co.il/realestate/item/52bkn61u?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=63,"4 כיווני אוויר, נוף פתוח לפארק, חניה"
דירה,ירושלים,מבוא שמואל פינלס 23,3,4,63,5000,https://www.yad2.co.il/realestate/item/a4jrym1k?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=63,"ייחודי, חבל לפספס, בהזדמנות"
דירה,רמת גן,חורגין 2,3,קרקע,80,2500,https://www.yad2.co.il/realestate/item/i3kwyg7z?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=63,"4 כיווני אוויר, נכס עורפי, מטבח גדול"
גג/ פנטהאוז,רעננה,לוי אשכול 15,4.5,3,185,10900,https://www.yad2.co.il/realestate/item/jcaqx67y?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=63,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,ראשון לציון,בלפור 2,4,4,106,5300,https://www.yad2.co.il/realestate/item/k4wtieik?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=63,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
גג/ פנטהאוז,חריש,גפן 5,4,7,135,5200,https://www.yad2.co.il/realestate/item/05nbsips?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=63,"2 מרפסות, 3 כיווני אוויר, חניה"
דירה,חיפה,חניתה 60,3,2,70,3200,https://www.yad2.co.il/realestate/item/6hbjt665?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=63,"3 כיווני אוויר, נוף פתוח לפארק, נכס עורפי"
דירה,חיפה,אחד העם 8,2,3,60,3500,https://www.yad2.co.il/realestate/item/h8zknd7d?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=63,"ממ""ד, נוף פתוח לים, חניה"
דירה,תל אביב יפו,שדרות רוטשילד 106,2.5,2,55,8500,https://www.yad2.co.il/realestate/item/9aqcq86x?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=63,"ממ""ד, נכס עורפי, בניין משופץ"
דירה,חיפה,כרמי 7,4,3,75,5400,https://www.yad2.co.il/realestate/item/8pazlimy?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=63,"3 כיווני אוויר, נוף פתוח לפארק, משופצת אדריכלית"
דירה,חיפה,ברל כצנלסון 60,4,3,90,3750,https://www.yad2.co.il/realestate/item/17enzmdl?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=63,"נוף פתוח לפארק, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,שטרוק 13,2,קרקע,60,7200,https://www.yad2.co.il/realestate/item/cq6ih1ju?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=63,"3 כיווני אוויר, קרוב לפארק, בהזדמנות"
דירה,רמת השרון,סוקולוב 82,3,1,85,6100,https://www.yad2.co.il/realestate/item/x9jl1ee5?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=63,"נוף פתוח לים, חניה, קרוב לפארק"
דירה,נתניה,שדרות עין התכלת 4,3,5,113,6300,https://www.yad2.co.il/realestate/item/qehfjh4o?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=64,"3 כיווני אוויר, חניה, חדש מקבלן"
דירה,באר שבע,חיים נחמן ביאליק 105,4,4,105,3600,https://www.yad2.co.il/realestate/item/1ntm0efb?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=64,"3 כיווני אוויר, נוף פתוח לפארק, חניה"
דירה,גבעתיים,אריאל שרון 4,3,49,82,9750,https://www.yad2.co.il/realestate/item/h65esupw?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=64,"נוף פתוח לעיר, חניה, נכס חדש"
דירה,רמת גן,דרך שיבא 14,5,10,135,9100,https://www.yad2.co.il/realestate/item/awymljhw?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=64,"ממ""ד, נוף פתוח לעיר, חניה"
דירה,מודיעין מכבים רעות,יונה הנביא 2,3.5,3,90,6100,https://www.yad2.co.il/realestate/item/s535yd7y?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=64,"3 מרפסות, 3 כיווני אוויר, חניה"
